tconst,primaryTitle,startYear,runtimeMinutes,poster_path,averageRating,numVotes,W_Note,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Science Fiction,Sport,Thriller,War,Western
tt0048280,Lady and the Tramp,1955,76,/r9FiDSdBwNHdRwN0NMRrqfEHJGO.jpg,7.3,149772,7.257086948,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tt0048356,Marty,1955,90,/8tnGO5VoAQII4DbE3hozWKhV4BY.jpg,7.7,27323,7.365539055,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tt0048545,Rebel Without a Cause,1955,111,/n0oJB5fhcUth9ZbHziwsFuR38gT.jpg,7.6,98569,7.478610331,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0048605,The Seven Year Itch,1955,105,/4oLqx0QbjWFzWtkxRmDLGH47CUJ.jpg,7.1,42844,7.063150758,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tt0048728,To Catch a Thief,1955,106,/cbMRkBGBgo3aLJK2M4MyicvkPLQ.jpg,7.4,80483,7.305197994,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
tt0048750,The Trouble with Harry,1955,99,/uUXLq7fEG3hI46ZFMZzgHj11S6S.jpg,7,41591,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
tt0049223,Forbidden Planet,1956,98,/aq0OQfRS7hDDI8vyD0ICbH9eguC.jpg,7.5,53739,7.341247666,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
tt0049366,Invasion of the Body Snatchers,1956,80,/8BrMQmgwGzIHSyBjCDOLOdi79fJ.jpg,7.7,55304,7.482078103,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
tt0049408,The King and I,1956,133,/wUfaP0lLaMpZzp5CrHyII5Vd7cp.jpg,7.4,28058,7.211527008,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
tt0049470,The Man Who Knew Too Much,1956,120,/gy8YBRjCQRIT9x9G9F5fpnFD4xw.jpg,7.4,70413,7.295192479,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
tt0050083,12 Angry Men,1957,96,/ow3wq89wM8qd5X7hWKxiRfsFf9C.jpg,9,874722,8.944427279,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0050105,An Affair to Remember,1957,115,/1GbacsSg7hBetRb8G0vQ2a8SN.jpg,7.4,33285,7.22842927,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tt0051036,Sweet Smell of Success,1957,96,/akzvV8JasNrgEl5iAP9K6zPHGJe.jpg,8,36058,7.590553244,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tt0051201,Witness for the Prosecution,1957,116,/mM5Cad2ESBprh6ucPnMzMfI34Cu.jpg,8.4,139275,8.186942627,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tt0051207,The Wrong Man,1956,105,/pO5XR2R56RAbVjdks9gGGn0fbOa.jpg,7.4,31638,7.223440093,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
tt0051418,The Blob,1958,86,/ctOwn1Ibg3SjDG4WulvFvSH0PRT.jpg,6.3,29653,6.620202002,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
